symbol,yahoo_symbol,name,reason,avg_dollar_volume_30d_usd,valid_days
AAA,AAA,Alternative Access First Priority CLO Bond ETF,avg_dollar_volume_30d_below_15m_usd,322135.76,42
AAAA,AAAA,Amplius Aggressive Asset Allocation ETF,avg_dollar_volume_30d_below_15m_usd,243825.81,42
AAAC,AAAC,Columbia AAA CLO ETF,avg_dollar_volume_30d_below_15m_usd,3221702.68,42
AAAD,AAAD,PGIM AAA CLO Aggregate Duration ETF,avg_dollar_volume_30d_below_15m_usd,11169.37,40
AAAP,AAAP,Pacer Barings CLO Market Flex ETF,avg_dollar_volume_30d_below_15m_usd,2079491.03,27
AADR,AADR,AdvisorShares Dorsey Wright ADR ETF,avg_dollar_volume_30d_below_15m_usd,201287.47,42
AAEQ,AAEQ,Alpha Architect US Equity 2 ETF,avg_dollar_volume_30d_below_15m_usd,24067.11,42
AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,avg_dollar_volume_30d_below_15m_usd,433911.4,42
AAME,AAME,Atlantic American Corporation - Common Stock,avg_dollar_volume_30d_below_15m_usd,20292.93,42
AAOG,AAOG,Leverage Shares 2X Long AAOI Daily ETF,avg_dollar_volume_30d_below_15m_usd,6792114.74,42
AAOZ,AAOZ,Tradr 2X Short AAOI Daily ETF,avg_dollar_volume_30d_below_15m_usd,5258406.24,12
AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,avg_dollar_volume_30d_below_15m_usd,2679348.45,42
AAPE,AAPE,Leverage Shares 2X Long AAPL Daily ETF,avg_dollar_volume_30d_below_15m_usd,136849.28,18
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,avg_dollar_volume_30d_below_15m_usd,105893.7,42
AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,avg_dollar_volume_30d_below_15m_usd,701060.49,42
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,avg_dollar_volume_30d_below_15m_usd,1608854.49,42
AAPY,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,avg_dollar_volume_30d_below_15m_usd,151250.88,42
AARD,AARD,"Aardvark Therapeutics, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,2392144.19,42
AAUA,AAUA,Alpha Architect US Equity 3 ETF,avg_dollar_volume_30d_below_15m_usd,321550.1,42
AAUB,AAUB,Alpha Architect US Equity 4 ETF,avg_dollar_volume_30d_below_15m_usd,350587.33,6
AAUC,AAUC,Allied Gold Corporation Common Shares,avg_dollar_volume_30d_below_15m_usd,14131538.91,42
AAUS,AAUS,Alpha Architect US Equity ETF,avg_dollar_volume_30d_below_15m_usd,1005236.56,42
AAVM,AAVM,Alpha Architect Global Factor Equity ETF,avg_dollar_volume_30d_below_15m_usd,43441.17,42
ABAT,ABAT,American Battery Technology Company - Common Stock,avg_dollar_volume_30d_below_15m_usd,9053745.85,42
ABCS,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,avg_dollar_volume_30d_below_15m_usd,67327.04,42
ABEO,ABEO,Abeona Therapeutics Inc. - Common Stock,avg_dollar_volume_30d_below_15m_usd,9063101.04,42
ABEQ,ABEQ,Absolute Select Value ETF,avg_dollar_volume_30d_below_15m_usd,499256.92,42
ABFL,ABFL,Abacus FCF Leaders ETF,avg_dollar_volume_30d_below_15m_usd,1165339.65,42
ABI,ABI,VictoryShares Pioneer Asset-Based Income ETF,avg_dollar_volume_30d_below_15m_usd,3973.45,42
ABIG,ABIG,Argent Large Cap ETF,avg_dollar_volume_30d_below_15m_usd,75187.37,42
ABLD,ABLD,Abacus FCF Real Assets Leaders ETF,avg_dollar_volume_30d_below_15m_usd,261045.91,42
ABLG,ABLG,Abacus FCF International Leaders ETF,avg_dollar_volume_30d_below_15m_usd,59271.95,42
ABLS,ABLS,Abacus FCF Small Cap Leaders ETF,avg_dollar_volume_30d_below_15m_usd,70888.8,42
ABLV,ABLV,Able View Global Inc. - Class B Ordinary Shares,avg_dollar_volume_30d_below_15m_usd,73838.04,42
ABOS,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,1449137.92,42
ABOT,ABOT,Abacus FCF Innovation Leaders ETF,avg_dollar_volume_30d_below_15m_usd,13936.26,42
ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,avg_dollar_volume_30d_below_15m_usd,12239818.44,42
ABTS,ABTS,Abits Group Inc - Ordinary Shares,avg_dollar_volume_30d_below_15m_usd,64290.63,42
ABUF,ABUF,Aptus Laddered Buffer ETF,avg_dollar_volume_30d_below_15m_usd,201297.37,42
ABUS,ABUS,Arbutus Biopharma Corporation - Common Stock,avg_dollar_volume_30d_below_15m_usd,12143303.25,42
