Symbol,yahoo_symbol,name,etf,test_issue,source
AAL,AAL,"American Airlines Group, Inc. - Common Stock",False,False,nasdaq
AAOI,AAOI,"Applied Optoelectronics, Inc. - Common Stock",False,False,nasdaq
AAON,AAON,"AAON, Inc. - Common Stock",False,False,nasdaq
AAPL,AAPL,Apple Inc. - Common Stock,False,False,nasdaq
ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",False,False,nasdaq
ACAD,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,False,False,nasdaq
ACGL,ACGL,Arch Capital Group Ltd. - Common Stock,False,False,nasdaq
ACIW,ACIW,"ACI Worldwide, Inc. - Common Stock",False,False,nasdaq
ACLS,ACLS,"Axcelis Technologies, Inc. - Common Stock",False,False,nasdaq
ACMR,ACMR,"ACM Research, Inc. - Class A Common Stock",False,False,nasdaq
ACT,ACT,"Enact Holdings, Inc. - Common Stock",False,False,nasdaq
ADBE,ADBE,Adobe Inc. - Common Stock,False,False,nasdaq
ADEA,ADEA,Adeia Inc.  - Common Stock,False,False,nasdaq
ADP,ADP,"Automatic Data Processing, Inc. - Common Stock",False,False,nasdaq
ADPT,ADPT,Adaptive Biotechnologies Corporation - Common Stock,False,False,nasdaq
ADSK,ADSK,"Autodesk, Inc. - Common Stock",False,False,nasdaq
AEHR,AEHR,Aehr Test Systems - Common Stock,False,False,nasdaq
AEIS,AEIS,"Advanced Energy Industries, Inc. - Common Stock",False,False,nasdaq
AEP,AEP,"American Electric Power Company, Inc. - Common Stock",False,False,nasdaq
AFRM,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",False,False,nasdaq
AGYS,AGYS,"Agilysys, Inc. - Common Stock",False,False,nasdaq
AKAM,AKAM,"Akamai Technologies, Inc. - Common Stock",False,False,nasdaq
ALAB,ALAB,"Astera Labs, Inc. - Common Stock",False,False,nasdaq
ALGM,ALGM,"Allegro MicroSystems, Inc. - Common Stock",False,False,nasdaq
ALGN,ALGN,"Align Technology, Inc. - Common Stock",False,False,nasdaq
ALKS,ALKS,Alkermes plc - Ordinary Shares,False,False,nasdaq
ALM,ALM,Almonty Industries Inc. - Common Shares,False,False,nasdaq
ALMS,ALMS,Alumis Inc. - Common Stock,False,False,nasdaq
ALNY,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",False,False,nasdaq
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",False,False,nasdaq
AMBA,AMBA,"Ambarella, Inc. - Ordinary Shares",False,False,nasdaq
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",False,False,nasdaq
AMGN,AMGN,Amgen Inc. - Common Stock,False,False,nasdaq
AMKR,AMKR,"Amkor Technology, Inc. - Common Stock",False,False,nasdaq
AMRX,AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",False,False,nasdaq
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",False,False,nasdaq
APA,APA,APA Corporation - Common Stock,False,False,nasdaq
APGE,APGE,"Apogee Therapeutics, Inc. - Common Stock",False,False,nasdaq
APLD,APLD,Applied Digital Corporation - Common Stock,False,False,nasdaq
APP,APP,Applovin Corporation - Class A Common Stock,False,False,nasdaq
APPF,APPF,"AppFolio, Inc. - Class A Common Stock",False,False,nasdaq
ARCB,ARCB,ArcBest Corporation - Common Stock,False,False,nasdaq
ARQT,ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",False,False,nasdaq
ARWR,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",False,False,nasdaq
ARXS,ARXS,"Arxis, Inc. - Class A Common Stock",False,False,nasdaq
ASND,ASND,Ascendis Pharma A/S - Ordinary Share,False,False,nasdaq
ASTS,ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",False,False,nasdaq
ATRO,ATRO,Astronics Corporation - Common Stock,False,False,nasdaq
AUGO,AUGO,Aura Minerals Inc. - Common Shares,False,False,nasdaq
AVAV,AVAV,"AeroVironment, Inc. - Common Stock",False,False,nasdaq
AVGO,AVGO,Broadcom Inc. - Common Stock,False,False,nasdaq
AVT,AVT,"Avnet, Inc. - Common Stock",False,False,nasdaq
AXON,AXON,"Axon Enterprise, Inc. - Common Stock",False,False,nasdaq
AXSM,AXSM,"Axsome Therapeutics, Inc. - Common Stock",False,False,nasdaq
AXTI,AXTI,AXT Inc - Common Stock,False,False,nasdaq
AYA,AYA,Aya Gold & Silver Inc. - Common Shares,False,False,nasdaq
BANF,BANF,BancFirst Corporation - Common Stock,False,False,nasdaq
BATRA,BATRA,"Atlanta Braves Holdings, Inc. - Series A Common Stock",False,False,nasdaq
BATRK,BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock",False,False,nasdaq
BBIO,BBIO,"BridgeBio Pharma, Inc. - Common Stock",False,False,nasdaq
BCPC,BCPC,Balchem Corporation - Common Stock,False,False,nasdaq
BELFA,BELFA,Bel Fuse Inc. - Class A Common Stock,False,False,nasdaq
BELFB,BELFB,Bel Fuse Inc. - Class B Common Stock,False,False,nasdaq
BHF,BHF,"Brighthouse Financial, Inc. - Common Stock",False,False,nasdaq
BIIB,BIIB,Biogen Inc. - Common Stock,False,False,nasdaq
BKNG,BKNG,Booking Holdings Inc. - Common Stock,False,False,nasdaq
BKR,BKR,Baker Hughes Company - Common Stock,False,False,nasdaq
BLLN,BLLN,"BillionToOne, Inc. - Class A common stock",False,False,nasdaq
BMRN,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,False,False,nasdaq
BOKF,BOKF,BOK Financial Corporation - Common Stock,False,False,nasdaq
BPOP,BPOP,"Popular, Inc. - Common Stock",False,False,nasdaq
BRKR,BRKR,Bruker Corporation - Common Stock,False,False,nasdaq
BRZE,BRZE,"Braze, Inc. - Class A Common Stock",False,False,nasdaq
BSP,BSP,Bending Spoons S.p.A. - Ordinary Shares,False,False,nasdaq
BSY,BSY,"Bentley Systems, Incorporated - Class B Common Stock",False,False,nasdaq
BTSG,BTSG,"BrightSpring Health Services, Inc. - Common Stock",False,False,nasdaq
BWIN,BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",False,False,nasdaq
CACC,CACC,Credit Acceptance Corporation - Common Stock,False,False,nasdaq
CAE,CAE,CAE Inc - Common Shares,False,False,nasdaq
CAI,CAI,"Caris Life Sciences, Inc. - Common Stock",False,False,nasdaq
CAKE,CAKE,The Cheesecake Factory Incorporated - Common Stock,False,False,nasdaq
CALM,CALM,"Cal-Maine Foods, Inc. - Common Stock",False,False,nasdaq
CAMT,CAMT,Camtek Ltd. - Ordinary Shares,False,False,nasdaq
CAR,CAR,"Avis Budget Group, Inc. - Common Stock",False,False,nasdaq
CARG,CARG,"CarGurus, Inc. - Class A Common Stock",False,False,nasdaq
CART,CART,Maplebear Inc. - Common Stock,False,False,nasdaq
CASY,CASY,"Caseys General Stores, Inc. - Common Stock",False,False,nasdaq
CATY,CATY,Cathay General Bancorp - Common Stock,False,False,nasdaq
CBC,CBC,"Central Bancompany, Inc. - Class A Common Stock",False,False,nasdaq
CBRS,CBRS,Cerebras Systems Inc. - Class A Common Stock,False,False,nasdaq
CBSH,CBSH,"Commerce Bancshares, Inc. - Common Stock",False,False,nasdaq
CCEP,CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,False,False,nasdaq
CDNS,CDNS,"Cadence Design Systems, Inc. - Common Stock",False,False,nasdaq
CDW,CDW,CDW Corporation - Common Stock,False,False,nasdaq
CECO,CECO,CECO Environmental Corp. - Common Stock,False,False,nasdaq
CEG,CEG,Constellation Energy Corporation - Common Stock When-Issued,False,False,nasdaq
CELC,CELC,Celcuity Inc. - Common Stock,False,False,nasdaq
CELH,CELH,"Celsius Holdings, Inc. - Common Stock",False,False,nasdaq
CENX,CENX,Century Aluminum Company - Common Stock,False,False,nasdaq
CG,CG,The Carlyle Group Inc. - Common Stock,False,False,nasdaq
CGNX,CGNX,Cognex Corporation - Common Stock,False,False,nasdaq
CGON,CGON,"CG Oncology, Inc. - Common stock",False,False,nasdaq
CHDN,CHDN,"Churchill Downs, Incorporated - Common Stock",False,False,nasdaq
CHEF,CHEF,"The Chefs' Warehouse, Inc. - Common Stock",False,False,nasdaq
CHKP,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,False,False,nasdaq
CHRD,CHRD,Chord Energy Corporation - Common Stock,False,False,nasdaq
CHRN,CHRN,ChronoScale Holdings Corporation - Common Stock,False,False,nasdaq
CHRW,CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",False,False,nasdaq
CHTR,CHTR,"Charter Communications, Inc. - Class A Common Stock",False,False,nasdaq
CHYM,CHYM,"Chime Financial, Inc. - Class A Common Stock",False,False,nasdaq
CIFR,CIFR,Cipher Digital Inc. - Common Stock,False,False,nasdaq
CINF,CINF,Cincinnati Financial Corporation - Common Stock,False,False,nasdaq
CLDX,CLDX,"Celldex Therapeutics, Inc. - Common Stock",False,False,nasdaq
CLMT,CLMT,"Calumet, Inc - Common Stock",False,False,nasdaq
CLSK,CLSK,"CleanSpark, Inc. - Common Stock",False,False,nasdaq
CMCSA,CMCSA,Comcast Corporation - Class A Common Stock,False,False,nasdaq
CME,CME,CME Group Inc. - Class A Common Stock,False,False,nasdaq
COCO,COCO,"The Vita Coco Company, Inc. - Common Stock",False,False,nasdaq
COGT,COGT,"Cogent Biosciences, Inc. - Common Stock",False,False,nasdaq
